"Status Effective","Account Holder","Quantity of Credits","Retirement Reason","Retirement Reason Details","Credit Serial Numbers","Vintage","Protocol Version","Date Issued","ARB Eligible","Sustainable Development Goal(s)","Project ID","Project Name","Project Site Country","Project Site Location","Project Site State","Project Type",
"01/13/2021","Carbonfund.org","15","Retail Program Requirements","Retired on behalf of Carbonfund.org Foundation's donor Flock Freight","ACR-US-131-2008-531-3237 to 3251","2008","Version 1.0","6/2/2016 2:46:44 PM","No","","ACR131","Truck Stop Electrification, Arizona","US","Arizona","ARIZONA","Transport / Fleet Efficiency",
"01/11/2021","Pachama Inc.","5","On Behalf of Third Party","Bundle 1517","ACR-US-386-2018-813-24477 to 24481","2018","Version 1.0","4/3/2019 9:54:19 PM","No","Clean Water and Sanitation;Climate Action;Life on Land","ACR386","Bluesource - Hudson Farm Improved Forest Management Project","US","Andover, New Jersey","NEW JERSEY","Forest Carbon",
"01/11/2021","Pachama Inc.","5","On Behalf of Third Party","Bundle 1517","ACR-US-368-2018-804-1023 to 1027","2018","Version 1.0","2/5/2019 7:15:55 AM","No","Clean Water and Sanitation;Climate Action;Life on Land","ACR368","Blue Source - Middlebury Improved Forest Management Project","US","Middlebury, Vermont","VERMONT","Forest Carbon",
"01/11/2021","Pachama Inc.","5","On Behalf of Third Party","Bundle 1517","ACR-US-376-2018-864-1227 to 1231","2018","Version 1.0","7/3/2019 9:30:26 PM","No","Clean Water and Sanitation;Climate Action;Life on Land","ACR376","Blue Source - Massachusetts Tri-City Improved Forest Management Project","US","Hampden and Tolland Counties, Massachusetts","MASSACHUSETTS","Forest Carbon",
"01/08/2021","Arbor Day Foundation","5000","On Behalf of Third Party","Retired on behalf of Schott – One further step towards climate neutrality by 2030","ACR-US-114-2019-1071-534195 to 539194","2019","Version 1.0","7/31/2020 9:00:05 PM","No","Clean Water and Sanitation;Climate Action;Life on Land","ACR114","GreenTrees ACRE (Advanced Carbon Restored Ecosystem)","US","Mississippi Alluvial Valley","ARKANSAS","Forest Carbon",
"01/08/2021","Natural Capital Partners Americas, LLC","75","On Behalf of Third Party","Customer ID 00077111","ACR-US-143-2008-488-701 to 775","2008","Version 1.0","6/2/2016 2:44:44 PM","No","","ACR143","Truck Stop Electrification, Minnesota","US","Minnesota","MINNESOTA","Transport / Fleet Efficiency",
"01/08/2021","Natural Capital Partners Americas, LLC","165","On Behalf of Third Party","Customer ID 00077111","ACR-US-134-2008-523-1163 to 1327","2008","Version 1.0","6/2/2016 2:46:12 PM","No","","ACR134","Truck Stop Electrification, Colorado","US","Colorado","COLORADO","Transport / Fleet Efficiency",
"01/08/2021","Natural Capital Partners Americas, LLC","200","On Behalf of Third Party","Customer ID 00077111","ACR-US-147-2008-472-1460 to 1659","2008","Version 1.0","6/2/2016 2:43:56 PM","No","","ACR147","Truck Stop Electrification, New Jersey","US","New Jersey","NEW JERSEY","Transport / Fleet Efficiency",
"01/08/2021","Natural Capital Partners Americas, LLC","200","On Behalf of Third Party","Customer ID 00077111","ACR-US-144-2008-484-701 to 900","2008","Version 1.0","6/2/2016 2:44:33 PM","No","","ACR144","Truck Stop Electrification, Mississippi","US","Mississippi","MISSISSIPPI","Transport / Fleet Efficiency",
"01/08/2021","Natural Capital Partners Americas, LLC","216","On Behalf of Third Party","Customer ID 00077111","ACR-US-146-2008-476-585 to 800","2008","Version 1.0","6/2/2016 2:44:07 PM","No","","ACR146","Truck Stop Electrification, Nebraska","US","Nebraska","NEBRASKA","Transport / Fleet Efficiency",
"01/08/2021","Natural Capital Partners Americas, LLC","300","On Behalf of Third Party","Customer ID 00077111","ACR-US-135-2009-518-1001 to 1300","2009","Version 1.0","6/2/2016 2:46:02 PM","No","","ACR135","Truck Stop Electrification, Florida","US","Florida","FLORIDA","Transport / Fleet Efficiency",
"01/08/2021","Natural Capital Partners Americas, LLC","300","On Behalf of Third Party","Customer ID 00077111","ACR-US-134-2008-523-863 to 1162","2008","Version 1.0","6/2/2016 2:46:12 PM","No","","ACR134","Truck Stop Electrification, Colorado","US","Colorado","COLORADO","Transport / Fleet Efficiency",
"01/08/2021","Natural Capital Partners Americas, LLC","360","On Behalf of Third Party","Customer ID 00077111","ACR-US-144-2008-484-1145 to 1504","2008","Version 1.0","6/2/2016 2:44:33 PM","No","","ACR144","Truck Stop Electrification, Mississippi","US","Mississippi","MISSISSIPPI","Transport / Fleet Efficiency",
"01/08/2021","Natural Capital Partners Americas, LLC","200","On Behalf of Third Party","Customer ID 00077111","ACR-US-144-2008-484-901 to 1100","2008","Version 1.0","6/2/2016 2:44:33 PM","No","","ACR144","Truck Stop Electrification, Mississippi","US","Mississippi","MISSISSIPPI","Transport / Fleet Efficiency",
"01/08/2021","Natural Capital Partners Americas, LLC","18970","On Behalf of Third Party","Retirement on behalf of Client FY2021","ACR-US-114-2017-735-128277 to 147246","2017","Version 1.0","6/22/2018 11:22:39 PM","No","Clean Water and Sanitation;Climate Action;Life on Land","ACR114","GreenTrees ACRE (Advanced Carbon Restored Ecosystem)","US","Mississippi Alluvial Valley","ARKANSAS","Forest Carbon",
"01/08/2021","Natural Capital Partners Americas, LLC","40055","On Behalf of Third Party","Retirement on behalf of Client FY2021","ACR-US-114-2017-734-411390 to 451444","2017","Version 1.0","6/22/2018 11:22:39 PM","No","Clean Water and Sanitation;Climate Action;Life on Land","ACR114","GreenTrees ACRE (Advanced Carbon Restored Ecosystem)","US","Mississippi Alluvial Valley","ARKANSAS","Forest Carbon",
"01/07/2021","Natural Capital Partners Americas, LLC","2507","On Behalf of Third Party","Customer ID 00077454","ACR-US-126-2012-312-148747 to 151253","2012","Version 1.0","1/24/2013 5:38:38 AM","No","Industry, Innovation and Infrastructure;Sustainable Cities and Communities;Climate Action","ACR126","Seneca Meadows LFG","US","Waterloo","NEW YORK","Landfill Gas Capture & Combustion",
"01/07/2021","Natural Capital Partners Americas, LLC","165","On Behalf of Third Party","Customer ID 00077046","ACR-US-126-2012-312-148582 to 148746","2012","Version 1.0","1/24/2013 5:38:38 AM","No","Industry, Innovation and Infrastructure;Sustainable Cities and Communities;Climate Action","ACR126","Seneca Meadows LFG","US","Waterloo","NEW YORK","Landfill Gas Capture & Combustion",
"01/07/2021","Natural Capital Partners Americas, LLC","7","On Behalf of Third Party","Customer ID 00077046","ACR-US-126-2011-293-213873034 to 213873040","2011","Version 1.0","3/12/2012","No","Industry, Innovation and Infrastructure;Sustainable Cities and Communities;Climate Action","ACR126","Seneca Meadows LFG","US","Waterloo","NEW YORK","Landfill Gas Capture & Combustion",
"01/07/2021","Natural Capital Partners Americas, LLC","1000","On Behalf of Third Party","Customer ID 00077066","ACR-US-126-2012-312-147582 to 148581","2012","Version 1.0","1/24/2013 5:38:38 AM","No","Industry, Innovation and Infrastructure;Sustainable Cities and Communities;Climate Action","ACR126","Seneca Meadows LFG","US","Waterloo","NEW YORK","Landfill Gas Capture & Combustion",
"01/07/2021","Natural Capital Partners Americas, LLC","581","On Behalf of Third Party","Customer ID 00077365","ACR-US-126-2012-312-147001 to 147581","2012","Version 1.0","1/24/2013 5:38:38 AM","No","Industry, Innovation and Infrastructure;Sustainable Cities and Communities;Climate Action","ACR126","Seneca Meadows LFG","US","Waterloo","NEW YORK","Landfill Gas Capture & Combustion",
"01/07/2021","Natural Capital Partners Americas, LLC","398","On Behalf of Third Party","Customer ID 00077365","ACR-US-126-2012-313-167153 to 167550","2012","Version 1.0","7/8/2013 3:39:51 AM","No","Industry, Innovation and Infrastructure;Sustainable Cities and Communities;Climate Action","ACR126","Seneca Meadows LFG","US","Waterloo","NEW YORK","Landfill Gas Capture & Combustion",
"01/07/2021","Natural Capital Partners Americas, LLC","5984","On Behalf of Third Party","Customer ID 00077111","ACR-US-126-2012-313-161169 to 167152","2012","Version 1.0","7/8/2013 3:39:51 AM","No","Industry, Innovation and Infrastructure;Sustainable Cities and Communities;Climate Action","ACR126","Seneca Meadows LFG","US","Waterloo","NEW YORK","Landfill Gas Capture & Combustion",
"01/07/2021","Natural Capital Partners Americas, LLC","579","On Behalf of Third Party","Customer ID 00076727","ACR-US-126-2011-293-213872455 to 213873033","2011","Version 1.0","3/12/2012","No","Industry, Innovation and Infrastructure;Sustainable Cities and Communities;Climate Action","ACR126","Seneca Meadows LFG","US","Waterloo","NEW YORK","Landfill Gas Capture & Combustion",
"01/07/2021","Natural Capital Partners Americas, LLC","809","On Behalf of Third Party","Customer ID 00076727","ACR-US-126-2011-293-213712607 to 213713415","2011","Version 1.0","3/12/2012","No","Industry, Innovation and Infrastructure;Sustainable Cities and Communities;Climate Action","ACR126","Seneca Meadows LFG","US","Waterloo","NEW YORK","Landfill Gas Capture & Combustion",
"01/07/2021","Natural Capital Partners Americas, LLC","641","On Behalf of Third Party","Customer ID 00076079","ACR-US-126-2012-313-160528 to 161168","2012","Version 1.0","7/8/2013 3:39:51 AM","No","Industry, Innovation and Infrastructure;Sustainable Cities and Communities;Climate Action","ACR126","Seneca Meadows LFG","US","Waterloo","NEW YORK","Landfill Gas Capture & Combustion",
"01/07/2021","Natural Capital Partners Americas, LLC","396","On Behalf of Third Party","Customer ID 00077113","ACR-US-222-2014-750-6401 to 6796","2014","Version 1.0","8/31/2018 5:33:02 AM","No","Clean Water and Sanitation;Climate Action;Life on Land","ACR222","Prairie Pothole Avoided Conversion of Grasslands and Shrublands","US","Missouri Coteau","NORTH DAKOTA","Agricultural Land Management",
"01/07/2021","Natural Capital Partners Americas, LLC","1404","On Behalf of Third Party","Customer ID 00077113","ACR-US-222-2013-752-5497 to 6900","2013","Version 1.0","8/31/2018 5:33:02 AM","No","Clean Water and Sanitation;Climate Action;Life on Land","ACR222","Prairie Pothole Avoided Conversion of Grasslands and Shrublands","US","Missouri Coteau","NORTH DAKOTA","Agricultural Land Management",
"01/07/2021","Natural Capital Partners Americas, LLC","1800","On Behalf of Third Party","Customer ID 00077113","ACR-US-114-2016-736-111358 to 113157","2016","Version 1.0","6/22/2018 11:22:39 PM","No","Clean Water and Sanitation;Climate Action;Life on Land","ACR114","GreenTrees ACRE (Advanced Carbon Restored Ecosystem)","US","Mississippi Alluvial Valley","ARKANSAS","Forest Carbon",
"01/07/2021","Natural Capital Partners Americas, LLC","210","On Behalf of Third Party","Customer ID 00077026","ACR-US-222-2013-752-5287 to 5496","2013","Version 1.0","8/31/2018 5:33:02 AM","No","Clean Water and Sanitation;Climate Action;Life on Land","ACR222","Prairie Pothole Avoided Conversion of Grasslands and Shrublands","US","Missouri Coteau","NORTH DAKOTA","Agricultural Land Management",
"01/07/2021","Natural Capital Partners Americas, LLC","340","On Behalf of Third Party","Customer ID 00077026","ACR-US-114-2016-736-111018 to 111357","2016","Version 1.0","6/22/2018 11:22:39 PM","No","Clean Water and Sanitation;Climate Action;Life on Land","ACR114","GreenTrees ACRE (Advanced Carbon Restored Ecosystem)","US","Mississippi Alluvial Valley","ARKANSAS","Forest Carbon",
"01/07/2021","Natural Capital Partners Americas, LLC","660","On Behalf of Third Party","Customer ID 00077026","ACR-US-114-2015-646-111400 to 112059","2015","Version 1.0","5/31/2017 8:47:39 PM","No","Clean Water and Sanitation;Climate Action;Life on Land","ACR114","GreenTrees ACRE (Advanced Carbon Restored Ecosystem)","US","Mississippi Alluvial Valley","ARKANSAS","Forest Carbon",
"01/07/2021","Natural Capital Partners Americas, LLC","400","On Behalf of Third Party","Customer ID 00077458","ACR-US-126-2012-313-160128 to 160527","2012","Version 1.0","7/8/2013 3:39:51 AM","No","Industry, Innovation and Infrastructure;Sustainable Cities and Communities;Climate Action","ACR126","Seneca Meadows LFG","US","Waterloo","NEW YORK","Landfill Gas Capture & Combustion",
"01/07/2021","Natural Capital Partners Americas, LLC","5000","On Behalf of Third Party","Customer ID 00077383","ACR-US-126-2012-313-155128 to 160127","2012","Version 1.0","7/8/2013 3:39:51 AM","No","Industry, Innovation and Infrastructure;Sustainable Cities and Communities;Climate Action","ACR126","Seneca Meadows LFG","US","Waterloo","NEW YORK","Landfill Gas Capture & Combustion",
"01/07/2021","Natural Capital Partners Americas, LLC","256","On Behalf of Third Party","Customer ID 00077420","ACR-US-222-2013-752-5031 to 5286","2013","Version 1.0","8/31/2018 5:33:02 AM","No","Clean Water and Sanitation;Climate Action;Life on Land","ACR222","Prairie Pothole Avoided Conversion of Grasslands and Shrublands","US","Missouri Coteau","NORTH DAKOTA","Agricultural Land Management",
"01/07/2021","Natural Capital Partners Americas, LLC","20","On Behalf of Third Party","Customer ID 00076384","ACR-US-114-2015-646-111380 to 111399","2015","Version 1.0","5/31/2017 8:47:39 PM","No","Clean Water and Sanitation;Climate Action;Life on Land","ACR114","GreenTrees ACRE (Advanced Carbon Restored Ecosystem)","US","Mississippi Alluvial Valley","ARKANSAS","Forest Carbon",
"01/07/2021","Natural Capital Partners Americas, LLC","30","On Behalf of Third Party","Customer ID 00077373","ACR-US-222-2013-752-5001 to 5030","2013","Version 1.0","8/31/2018 5:33:02 AM","No","Clean Water and Sanitation;Climate Action;Life on Land","ACR222","Prairie Pothole Avoided Conversion of Grasslands and Shrublands","US","Missouri Coteau","NORTH DAKOTA","Agricultural Land Management",
"01/07/2021","Natural Capital Partners Americas, LLC","390","On Behalf of Third Party","Customer ID 00077412","ACR-US-126-2012-313-154738 to 155127","2012","Version 1.0","7/8/2013 3:39:51 AM","No","Industry, Innovation and Infrastructure;Sustainable Cities and Communities;Climate Action","ACR126","Seneca Meadows LFG","US","Waterloo","NEW YORK","Landfill Gas Capture & Combustion",
"01/07/2021","Natural Capital Partners Americas, LLC","1366","On Behalf of Third Party","Customer ID 00077082","ACR-US-114-2016-736-109652 to 111017","2016","Version 1.0","6/22/2018 11:22:39 PM","No","Clean Water and Sanitation;Climate Action;Life on Land","ACR114","GreenTrees ACRE (Advanced Carbon Restored Ecosystem)","US","Mississippi Alluvial Valley","ARKANSAS","Forest Carbon",
"01/07/2021","Carbonfund.org","370","Retail Program Requirements","Retired on behalf of Carbonfund.org Foundation's Donors","ACR-US-137-2008-512-7347 to 7716","2008","Version 1.0","6/2/2016 2:45:42 PM","No","","ACR137","Truck Stop Electrification, Illinois","US","Illinois","ILLINOIS","Transport / Fleet Efficiency",
"01/07/2021","Carbonfund.org","375","Retail Program Requirements","Retired on behalf of Carbonfund.org Foundation's Donors","ACR-US-135-2008-519-101 to 475","2008","Version 1.0","6/2/2016 2:46:02 PM","No","","ACR135","Truck Stop Electrification, Florida","US","Florida","FLORIDA","Transport / Fleet Efficiency",
"01/07/2021","Carbonfund.org","2200","Retail Program Requirements","Retired on behalf of Carbonfund.org Foundation's Donors","ACR-US-130-2008-535-122 to 2321","2008","Version 1.0","6/2/2016 2:46:59 PM","No","","ACR130","Truck Stop Electrification, Alabama","US","Alabama","ALABAMA","Transport / Fleet Efficiency",
"01/07/2021","Carbonfund.org","94","Retail Program Requirements","Retired on behalf of Carbonfund.org Foundation's Donors","ACR-US-147-2007-473-706 to 799","2007","Version 1.0","6/2/2016 2:43:56 PM","No","","ACR147","Truck Stop Electrification, New Jersey","US","New Jersey","NEW JERSEY","Transport / Fleet Efficiency",
"01/07/2021","Carbonfund.org","1403","Retail Program Requirements","Retired on behalf of Carbonfund.org Foundation's Donor","ACR-US-386-2018-989-1 to 1403","2018","Version 1.0","4/13/2020 10:50:06 PM","No","Clean Water and Sanitation;Climate Action;Life on Land","ACR386","Bluesource - Hudson Farm Improved Forest Management Project","US","Andover, New Jersey","NEW JERSEY","Forest Carbon",
"01/07/2021","Maple Leaf Foods","776","Environmental Benefit","Carbon Neutral (Greenleaf Foods SPC)","ACR-US-376-2018-864-40229 to 41004","2018","Version 1.0","7/3/2019 9:30:26 PM","No","Clean Water and Sanitation;Climate Action;Life on Land","ACR376","Blue Source - Massachusetts Tri-City Improved Forest Management Project","US","Hampden and Tolland Counties, Massachusetts","MASSACHUSETTS","Forest Carbon",
"01/06/2021","ClimeCo Corporation","119","On Behalf of Third Party","Offset Alliance LLC","ACR-US-164-2007-280-202273151 to 202273269","2007","Version 1.0","2/11/2008","No","","ACR164","DANC","US","Rodman, NY","NEW YORK","Landfill Gas Capture & Combustion",
